a,mean_k_fresh_ensemble,mean_lambda_baseline,critical_k_log2a
1,1.99994,1.386252772289057,0.0
3,1.99996,0.28765434656455846,1.5849625007211563
5,1.99999,-0.22315048278601535,2.321928094887362
7,1.99999,-0.5596227194072283,2.807354922057604
9,1.99998,-0.81094407915994,3.1699250014423126
11,2.00001,-1.0115939802066745,3.4594316186372978
