m,mean_lambda,sd_lambda,anti_count,anti_prob_actual,anti_ci95_low,anti_ci95_high,anti_prob_iid,actual_to_iid_ratio,tail_rate_actual,tail_rate_iid,mean_K_over_m
1,0.28768900392358626,0.9803169574623526,100000,0.5,0.4978087146927882,0.5021912853072118,0.5,1.0,0.6931471805599453,0.6931471805599453,2.00001
2,0.2876716752440724,0.6930492660374323,100000,0.5,0.4978087146927882,0.5021912853072118,0.5,1.0,0.34657359027997264,0.34657359027997264,1.999985
4,0.2876968018293677,0.4900504910039742,68750,0.34375,0.3416714580889752,0.34583454407514674,0.34375,1.0,0.266960157500339,0.266960157500339,2.00002125
8,0.28820106640322507,0.3476271388096114,38772,0.19386,0.19213335000857934,0.19559841000757627,0.19384765625,1.000063677581864,0.20507737873970938,0.205085338184026,2.00074875
16,0.2888589063992752,0.24277046345824807,22901,0.114505,0.1131168705096368,0.11590793783761573,0.11476147174835205,0.9977651755031999,0.13544604930118728,0.13530621646094484,2.0016978125
32,0.28850106916731116,0.1665773203401356,6356,0.03178,0.03102017672284335,0.032557809410181965,0.03245432353613609,0.9792223820229911,0.10777869118354896,0.1071225502451995,2.0011815625
64,0.27356190625404603,0.09457094793378071,906,0.00453,0.004245061381161091,0.004833971529287095,0.004667524060322401,0.9705359718460881,0.08432864592948741,0.0838613519952941,1.97962890625
96,0.265388581851359,0.05920507964848753,122,0.00061,0.0005109589747605689,0.0007282245179811085,0.0007381141502608463,0.8264304373306333,0.07710470417496788,0.07511887573098512,1.9678372916666669
128,0.2660986064437372,0.04362475381958472,16,8e-05,4.92456616623843e-05,0.00012995819041999494,8.861799003413107e-05,0.9027512356033819,0.07369909315070619,0.0728998099466825,1.968861640625
