m,K,epsilon,alpha,Q,count_bound,total_words,fraction_bound,nontrivial
8,13,0.2,0.5742584019204391,1,8,792,0.010101010101010102,True
16,26,0.2,0.5989227737936874,1,16,3268760,4.894822501499039e-06,True
32,51,0.2,0.5999984861665696,1,32,30405943383200,1.0524258233566518e-12,True
64,102,0.2,0.5999999999962564,1,64,9090078534128625066688855200,7.040643241938178e-27,True
