lag,pearson_corr,mutual_information_nats
1,-0.030745406117245362,0.01445197611563872
2,0.024700830273248032,0.022437988879031166
3,-0.025241420447646306,0.018527067290239497
4,0.058033458720797446,0.021888381283289852
5,-0.02002536084267916,0.013450554332084063
6,0.013717499491802884,0.018569920019811118
7,-0.01527370309305089,0.019095952863371513
8,-0.04114636309235631,0.017202299486710104
