m,lambda,empirical_rate,cdf,cramer_rate
16,-0.12,0.22862264696745094,0.025785,0.1263268675187068
16,-0.11333333333333333,0.22862264696745094,0.025785,0.12122280458543777
16,-0.10666666666666666,0.22862264696745094,0.025785,0.11627317165247075
16,-0.1,0.19238350623805042,0.046045,0.11147350770451869
16,-0.09333333333333332,0.19238350623805042,0.046045,0.10681955975001234
16,-0.08666666666666667,0.19238350623805042,0.046045,0.10230726922955324
16,-0.08,0.19238350623805042,0.046045,0.097932759568359
16,-0.07333333333333333,0.19238350623805042,0.046045,0.09369232475527023
16,-0.06666666666666667,0.19238350623805042,0.046045,0.08958241884504525
16,-0.06,0.19238350623805042,0.046045,0.08559964629287986
16,-0.05333333333333333,0.1616795582736132,0.075255,0.08174075304063744
16,-0.04666666666666666,0.1616795582736132,0.075255,0.07800261828344135
16,-0.04000000000000001,0.1616795582736132,0.075255,0.07438224685323436
16,-0.03333333333333334,0.1616795582736132,0.075255,0.0708767621628672
16,-0.026666666666666672,0.1616795582736132,0.075255,0.06748339966034766
16,-0.020000000000000004,0.1616795582736132,0.075255,0.06419950074820646
16,-0.013333333333333336,0.13544604930118728,0.114505,0.061022507127619474
16,-0.006666666666666668,0.13544604930118728,0.114505,0.05794995553105092
16,0.0,0.13544604930118728,0.114505,0.05497947281081711
16,0.006666666666666654,0.13544604930118728,0.114505,0.05210877135419284
16,0.013333333333333336,0.13544604930118728,0.114505,0.04933564479854613
16,0.01999999999999999,0.13544604930118728,0.114505,0.046657964022508214
16,0.026666666666666672,0.13544604930118728,0.114505,0.044073673391465285
16,0.033333333333333326,0.1133274063065737,0.163125,0.04158078723765157
16,0.03999999999999998,0.1133274063065737,0.163125,0.039177386556945304
16,0.04666666666666666,0.1133274063065737,0.163125,0.0368616159060578
16,0.053333333333333316,0.1133274063065737,0.163125,0.03463168048527476
16,0.06,0.1133274063065737,0.163125,0.032485843393184166
16,0.06666666666666665,0.1133274063065737,0.163125,0.030422423041010616
16,0.07333333333333333,0.09469693645280593,0.219775,0.028439790715217017
16,0.07999999999999999,0.09469693645280593,0.219775,0.02653636827798811
16,0.08666666666666667,0.09469693645280593,0.219775,0.02471062599606899
