m,K,all_words,exact_witness_words,exact_fraction,rigorous_bound,bound_fraction,max_witness_ratio
3,5,6,0,0.0,5,0.8333333333333334,0.3263157894736842
4,7,20,0,0.0,4,0.2,0.22188449848024316
5,8,35,0,0.0,35,1.0,0.6386732533521524
6,10,126,0,0.0,12,0.09523809523809523,0.1099521946979574
7,12,462,0,0.0,11,0.023809523809523808,0.0439179561227564
8,13,792,0,0.0,41,0.05176767676767677,0.17056570236079627
8,14,1716,0,0.0,14,0.008158508158508158,0.05912079708272317
9,15,3003,0,0.0,31,0.010323010323010324,0.06738592492061192
